"","ID","Name","Species","Class","Family","Logo"
"","MA0002.2","RUNX1","Mus musculus","Runt domain factors","Runt-related factors",""
"","MA0014.1","Pax5","Mus musculus","Paired box factors","Paired domain only",""
"","MA0029.1","Mecom","Mus musculus","C2H2 zinc finger factors","Factors with multiple dispersed zinc fingers",""
"","MA0039.1","Klf4","Mus musculus","C2H2 zinc finger factors","Three-zinc finger Kruppel-related factors",""
"","MA0039.2","Klf4","Mus musculus","C2H2 zinc finger factors","Three-zinc finger Kruppel-related factors",""
"","MA0060.1","NFYA","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Xenopus laevis                                                                                                                                                   Xenopus (Silurana) tropicalis                                                                                                                                                   Gallus gallus                                                                                                                                                   Homo sapiens                                                                                                                                                   Bos taurus                                                                                                                                                   Oryctolagus cuniculus","Other alpha","NFY",""
"","MA0063.1","Nkx2-5","Mus musculus","Homeo domain factors","NK-related factors",""
"","MA0065.2","Pparg::Rxra","Mus musculus","Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers","Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)",""
"","MA0067.1","Pax2","Mus musculus","Paired box factors","Paired domain only",""
"","MA0068.1","Pax4","Mus musculus","Paired box factors","Paired plus homeo domain",""
"","MA0075.1","Prrx2","Mus musculus","Homeo domain factors","Paired-related HD factors",""
"","MA0075.2","Prrx2","Mus musculus","Homeo domain factors","Paired-related HD factors",""
"","MA0078.1","Sox17","Mus musculus","High-mobility group (HMG) domain factors","SOX-related factors",""
"","MA0079.2","SP1","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Homo sapiens","C2H2 zinc finger factors","Three-zinc finger Krüppel-related factors",""
"","MA0087.1","Sox5","Mus musculus","High-mobility group (HMG) domain factors","SOX-related factors",""
"","MA0100.1","Myb","Mus musculus","Tryptophan cluster factors","Myb/SANT domain factors",""
"","MA0100.2","Myb","Mus musculus","Tryptophan cluster factors","Myb/SANT domain factors",""
"","MA0104.1","Mycn","Mus musculus","Basic helix-loop-helix factors (bHLH)","bHLH-ZIP factors",""
"","MA0104.2","Mycn","Mus musculus","Basic helix-loop-helix factors (bHLH)","bHLH-ZIP factors",""
"","MA0104.3","Mycn","Mus musculus","Basic helix-loop-helix factors (bHLH)","bHLH-ZIP factors",""
"","MA0105.1","NFKB1","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Homo sapiens                                                                                                                                                   Oryctolagus cuniculus","Rel homology region (RHR) factors","NF-kappaB-related factors",""
"","MA0113.1","NR3C1","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Oncorhynchus mykiss                                                                                                                                                   Gallus gallus                                                                                                                                                   Homo sapiens","Nuclear receptors with C4 zinc fingers","Steroid hormone receptors (NR3)",""
"","MA0113.2","NR3C1","Mus musculus","Nuclear receptors with C4 zinc fingers","Steroid hormone receptors (NR3)",""
"","MA0117.2","Mafb","Mus musculus","Basic leucine zipper factors (bZIP)","Maf-related factors",""
"","MA0122.1","Nkx3-2","Mus musculus","Homeo domain factors","NK-related factors",""
"","MA0122.3","Nkx3-2","Mus musculus","Homeo domain factors","NK-related factors",""
"","MA0124.2","Nkx3-1","Mus musculus","Homeo domain factors","NK-related factors",""
"","MA0125.1","Nobox","Mus musculus","Homeo domain factors","Paired-related HD factors",""
"","MA0132.1","Pdx1","Mus musculus","Homeo domain factors","HOX-related factors",""
"","MA0135.1","Lhx3","Mus musculus","Homeo domain factors","HD-LIM factors",""
"","MA0142.1","Pou5f1::Sox2","Mus musculus","Homeo domain factors::High-mobility group (HMG) domain factors","POU domain factors::SOX-related factors",""
"","MA0143.1","Sox2","Mus musculus","High-mobility group (HMG) domain factors","SOX-related factors",""
"","MA0143.2","Sox2","Mus musculus","High-mobility group (HMG) domain factors","SOX-related factors",""
"","MA0143.3","Sox2","Mus musculus","High-mobility group (HMG) domain factors","SOX-related factors",""
"","MA0147.1","Myc","Mus musculus","Basic helix-loop-helix factors (bHLH)","bHLH-ZIP factors",""
"","MA0147.2","Myc","Mus musculus","Basic helix-loop-helix factors (bHLH)","bHLH-ZIP factors",""
"","MA0150.2","Nfe2l2","Mus musculus","Basic leucine zipper factors (bZIP)","Jun-related factors",""
"","MA0152.1","NFATC2","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Homo sapiens","Rel homology region (RHR) factors","NFAT-related factors",""
"","MA0160.1","NR4A2","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Homo sapiens","Nuclear receptors with C4 zinc fingers","NGFI-B-related receptors (NR4)",""
"","MA0164.1","Nr2e3","Mus musculus","Nuclear receptors with C4 zinc fingers","RXR-related receptors (NR2)",""
"","MA0442.1","SOX10","Mus musculus                                                                                                                                                   Rattus norvegicus                                                                                                                                                   Homo sapiens","High-mobility group (HMG) domain factors","SOX-related factors",""
"","MA0493.1","Klf1","Mus musculus","C2H2 zinc finger factors","Three-zinc finger Krüppel-related factors",""
"","MA0494.1","Nr1h3::Rxra","Mus musculus","Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers","Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)",""
"","MA0498.1","Meis1","Mus musculus","Homeo domain factors","TALE-type homeo domain factors",""
